replay,cell_id,mutant_id,stratum,intended_stage,bypassed_stage,outcome,destination,mutated_source_sha256
1,r1-G-SCA-05-bypass-mypy,G-SCA-05,primary,,mypy,controlled_rejection,pytest,2c3c3192bfc571b5e04ceb13b54f816ce7afcb9191d97108c8102d362ce4c8d5
1,r1-G-SCA-05-bypass-pytest,G-SCA-05,primary,,pytest,accepted,accepted,2c3c3192bfc571b5e04ceb13b54f816ce7afcb9191d97108c8102d362ce4c8d5
1,r1-G-SCA-06-bypass-none,G-SCA-06,primary,,none,controlled_rejection,pytest,a6b1743bcb4e2c7126ec0aaae9a2a12a33afbf8cef56ebc76cf2726704756fb7
1,r1-G-SCA-06-bypass-ruff_format,G-SCA-06,primary,,ruff_format,controlled_rejection,pytest,a6b1743bcb4e2c7126ec0aaae9a2a12a33afbf8cef56ebc76cf2726704756fb7
1,r1-G-SCA-06-bypass-ruff_lint,G-SCA-06,primary,,ruff_lint,controlled_rejection,pytest,a6b1743bcb4e2c7126ec0aaae9a2a12a33afbf8cef56ebc76cf2726704756fb7
1,r1-G-SCA-06-bypass-mypy,G-SCA-06,primary,,mypy,controlled_rejection,pytest,a6b1743bcb4e2c7126ec0aaae9a2a12a33afbf8cef56ebc76cf2726704756fb7
1,r1-G-SCA-06-bypass-pytest,G-SCA-06,primary,,pytest,accepted,accepted,a6b1743bcb4e2c7126ec0aaae9a2a12a33afbf8cef56ebc76cf2726704756fb7
1,r1-D-FORMAT-01-bypass-none,D-FORMAT-01,directed,ruff_format,none,controlled_rejection,ruff_format,f2eb737d35541cde7d2a31db16a9a258f220bdc590e2323ccce0ecea1e22efc6
1,r1-D-FORMAT-01-bypass-ruff_format,D-FORMAT-01,directed,ruff_format,ruff_format,accepted,accepted,f2eb737d35541cde7d2a31db16a9a258f220bdc590e2323ccce0ecea1e22efc6
1,r1-D-FORMAT-01-bypass-ruff_lint,D-FORMAT-01,directed,ruff_format,ruff_lint,controlled_rejection,ruff_format,f2eb737d35541cde7d2a31db16a9a258f220bdc590e2323ccce0ecea1e22efc6
1,r1-D-FORMAT-01-bypass-mypy,D-FORMAT-01,directed,ruff_format,mypy,controlled_rejection,ruff_format,f2eb737d35541cde7d2a31db16a9a258f220bdc590e2323ccce0ecea1e22efc6
1,r1-D-FORMAT-01-bypass-pytest,D-FORMAT-01,directed,ruff_format,pytest,controlled_rejection,ruff_format,f2eb737d35541cde7d2a31db16a9a258f220bdc590e2323ccce0ecea1e22efc6
1,r1-D-FORMAT-02-bypass-none,D-FORMAT-02,directed,ruff_format,none,controlled_rejection,ruff_format,0f3aac591211ede88eed3c4043c71b5a8895216db7317e22929f4ff15f5b740a
1,r1-D-FORMAT-02-bypass-ruff_format,D-FORMAT-02,directed,ruff_format,ruff_format,accepted,accepted,0f3aac591211ede88eed3c4043c71b5a8895216db7317e22929f4ff15f5b740a
1,r1-D-FORMAT-02-bypass-ruff_lint,D-FORMAT-02,directed,ruff_format,ruff_lint,controlled_rejection,ruff_format,0f3aac591211ede88eed3c4043c71b5a8895216db7317e22929f4ff15f5b740a
1,r1-D-FORMAT-02-bypass-mypy,D-FORMAT-02,directed,ruff_format,mypy,controlled_rejection,ruff_format,0f3aac591211ede88eed3c4043c71b5a8895216db7317e22929f4ff15f5b740a
1,r1-D-FORMAT-02-bypass-pytest,D-FORMAT-02,directed,ruff_format,pytest,controlled_rejection,ruff_format,0f3aac591211ede88eed3c4043c71b5a8895216db7317e22929f4ff15f5b740a
1,r1-D-FORMAT-03-bypass-none,D-FORMAT-03,directed,ruff_format,none,controlled_rejection,ruff_format,e152919c6e6c07bc9279e3caee3d66052687c1cb5c590f6f8eaf92d61f31e2ee
1,r1-D-FORMAT-03-bypass-ruff_format,D-FORMAT-03,directed,ruff_format,ruff_format,accepted,accepted,e152919c6e6c07bc9279e3caee3d66052687c1cb5c590f6f8eaf92d61f31e2ee
1,r1-D-FORMAT-03-bypass-ruff_lint,D-FORMAT-03,directed,ruff_format,ruff_lint,controlled_rejection,ruff_format,e152919c6e6c07bc9279e3caee3d66052687c1cb5c590f6f8eaf92d61f31e2ee
1,r1-D-FORMAT-03-bypass-mypy,D-FORMAT-03,directed,ruff_format,mypy,controlled_rejection,ruff_format,e152919c6e6c07bc9279e3caee3d66052687c1cb5c590f6f8eaf92d61f31e2ee
1,r1-D-FORMAT-03-bypass-pytest,D-FORMAT-03,directed,ruff_format,pytest,controlled_rejection,ruff_format,e152919c6e6c07bc9279e3caee3d66052687c1cb5c590f6f8eaf92d61f31e2ee
1,r1-D-FORMAT-04-bypass-none,D-FORMAT-04,directed,ruff_format,none,controlled_rejection,ruff_format,50a3d5a3e5bf155c08612b60517a9625fb4244e391ef95f290aeba3459975539
1,r1-D-FORMAT-04-bypass-ruff_format,D-FORMAT-04,directed,ruff_format,ruff_format,accepted,accepted,50a3d5a3e5bf155c08612b60517a9625fb4244e391ef95f290aeba3459975539
1,r1-D-FORMAT-04-bypass-ruff_lint,D-FORMAT-04,directed,ruff_format,ruff_lint,controlled_rejection,ruff_format,50a3d5a3e5bf155c08612b60517a9625fb4244e391ef95f290aeba3459975539
1,r1-D-FORMAT-04-bypass-mypy,D-FORMAT-04,directed,ruff_format,mypy,controlled_rejection,ruff_format,50a3d5a3e5bf155c08612b60517a9625fb4244e391ef95f290aeba3459975539
1,r1-D-FORMAT-04-bypass-pytest,D-FORMAT-04,directed,ruff_format,pytest,controlled_rejection,ruff_format,50a3d5a3e5bf155c08612b60517a9625fb4244e391ef95f290aeba3459975539
1,r1-D-LINT-01-bypass-none,D-LINT-01,directed,ruff_lint,none,controlled_rejection,ruff_lint,2583de4cf9df2106dfc6f4791dab6f8f8ba382893986be751630050b31e9d384
1,r1-D-LINT-01-bypass-ruff_format,D-LINT-01,directed,ruff_lint,ruff_format,controlled_rejection,ruff_lint,2583de4cf9df2106dfc6f4791dab6f8f8ba382893986be751630050b31e9d384
1,r1-D-LINT-01-bypass-ruff_lint,D-LINT-01,directed,ruff_lint,ruff_lint,accepted,accepted,2583de4cf9df2106dfc6f4791dab6f8f8ba382893986be751630050b31e9d384
