removed_stage,variant_id,operator_family,source_stratum,baseline_first_destination,outcome_without_stage,fate
schema_validation,V0282,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0283,F5,fuzz,schema_validation,cross_artifact_preflight,absorbed_by_later_layer
schema_validation,V0284,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0260,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0255,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0285,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0269,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0256,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0257,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0286,F5,fuzz,schema_validation,cross_artifact_preflight,absorbed_by_later_layer
schema_validation,V0267,F5,fuzz,escape,escape,baseline_escape
schema_validation,V0275,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0261,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0287,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0262,F5,fuzz,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0276,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0263,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0277,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0270,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0251,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0258,F5,fuzz,escape,escape,baseline_escape
schema_validation,V0252,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0288,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0278,F5,fuzz,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0271,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0289,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0279,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0264,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0253,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0259,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0290,F5,fuzz,schema_validation,cross_artifact_preflight,absorbed_by_later_layer
schema_validation,V0272,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0268,F5,fuzz,escape,escape,baseline_escape
schema_validation,V0280,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0311,F6,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0309,F6,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0310,F6,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0308,F6,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0312,F6,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0313,F6,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0321,F6,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0320,F6,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0319,F6,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0359,F6,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0360,F6,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0358,F6,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0318,F6,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0317,F6,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0314,F6,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
